mass_A
t,x,y
8.405020544E0,-7.870983008E0,2.291632516E0
8.414401231E0,-7.860442552E0,2.291446917E0
8.423781918E0,-7.844603922E0,2.290519221E0
8.433162605E0,-7.831081611E0,2.292351523E0
8.442543292E0,-7.826030100E0,2.292901326E0
8.451923979E0,-7.825799063E0,2.292929372E0
8.461304666E0,-7.825737585E0,2.292861965E0
8.470685353E0,-7.825793133E0,2.293069105E0
8.480066040E0,-7.825854106E0,2.293249759E0
8.489446727E0,-7.825850295E0,2.293213888E0
8.498827414E0,-7.820866923E0,2.292104675E0
8.508208101E0,-7.789197657E0,2.289452472E0
8.517588788E0,-7.728649159E0,2.289701563E0
8.526969475E0,-7.717406293E0,2.291195387E0
8.536350162E0,-7.704141076E0,2.292671820E0
8.545730849E0,-7.690092875E0,2.294004142E0
8.555111536E0,-7.686265822E0,2.294526348E0
8.564492223E0,-7.686560613E0,2.294510156E0
8.573872910E0,-7.686475225E0,2.294541375E0
8.583253597E0,-7.678269649E0,2.294259122E0
8.592634285E0,-7.648378381E0,2.292602795E0
8.602014972E0,-7.589510374E0,2.294452442E0
8.611395659E0,-7.576320554E0,2.294569460E0
8.620776346E0,-7.546303514E0,2.293964518E0
8.630157033E0,-7.518601652E0,2.294901809E0
8.639537720E0,-7.510707582E0,2.295859494E0
8.648918407E0,-7.509338884E0,2.295563426E0
8.658299094E0,-7.508994515E0,2.295662882E0
8.667679781E0,-7.505906904E0,2.295519989E0
8.677060468E0,-7.493580124E0,2.295544883E0
8.686441155E0,-7.480303506E0,2.295703028E0
8.695821842E0,-7.472682082E0,2.295877680E0
8.705202529E0,-7.459090229E0,2.295718329E0
8.714583216E0,-7.446371183E0,2.295794613E0
8.723963903E0,-7.438365109E0,2.295414661E0
8.733344590E0,-7.423814358E0,2.294092330E0
8.742725277E0,-7.411521645E0,2.293111563E0
8.752105964E0,-7.398527223E0,2.292637244E0
8.761486651E0,-7.372575509E0,2.293150761E0
8.770867338E0,-7.342479630E0,2.294228323E0
8.780248025E0,-7.331229196E0,2.294649193E0
8.789628712E0,-7.321348360E0,2.295673131E0
8.799009399E0,-7.308652841E0,2.297371962E0
